Marine Recreational Information Program Query Results

Your Query Parameters:

·Query: MRIP EFFORT DIRECTED TRIP

·Year: 1988 - 1988

·Wave: BY WAVE

·Geographic Area: ATLANTIC COAST BY STATE

·Species: BLUEFISH

·Fishing Mode: ALL MODES BY MODE

·Fishing Area: ALL AREAS BY AREA

·Species Options: PRIMARY TARGET, SECONDARY TARGET, CAUGHT (TYPE A), HARVESTED (TYPE B1), RELEASED (TYPE B2)

PSE (proportional standard error) is automatically included in all outputs. It expresses the standard error of an estimate as a percentage of the estimate and is a

measure of precision.

"Estimate Status","Estimation Methodology","Year","Wave","State","Fishing Mode","Fishing Area","Directed Trips","PSE"
"FINAL","MRIP (2004 - 1988)",1988,"JANUARY/FEBRUARY","CONNECTICUT","SHORE","INLAND",".","."
"FINAL","MRIP (2004 - 1988)",1988,"JANUARY/FEBRUARY","CONNECTICUT","PARTY/CHARTER BOAT","OCEAN (> 3 MI)",".","."
"FINAL","MRIP (2004 - 1988)",1988,"JANUARY/FEBRUARY","CONNECTICUT","PARTY/CHARTER BOAT","INLAND",".","."
"FINAL","MRIP (2004 - 1988)",1988,"JANUARY/FEBRUARY","CONNECTICUT","PRIVATE/RENTAL BOAT","INLAND",".","."
"FINAL","MRIP (2004 - 1988)",1988,"JANUARY/FEBRUARY","DELAWARE","SHORE","OCEAN (<= 3 MI)",".","."
"FINAL","MRIP (2004 - 1988)",1988,"JANUARY/FEBRUARY","DELAWARE","SHORE","INLAND",".","."
"FINAL","MRIP (2004 - 1988)",1988,"JANUARY/FEBRUARY","DELAWARE","PARTY/CHARTER BOAT","OCEAN (<= 3 MI)",".","."
"FINAL","MRIP (2004 - 1988)",1988,"JANUARY/FEBRUARY","DELAWARE","PARTY/CHARTER BOAT","OCEAN (> 3 MI)",".","."
"FINAL","MRIP (2004 - 1988)",1988,"JANUARY/FEBRUARY","DELAWARE","PARTY/CHARTER BOAT","INLAND",".","."
"FINAL","MRIP (2004 - 1988)",1988,"JANUARY/FEBRUARY","DELAWARE","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",".","."
"FINAL","MRIP (2004 - 1988)",1988,"JANUARY/FEBRUARY","DELAWARE","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)",".","."
"FINAL","MRIP (2004 - 1988)",1988,"JANUARY/FEBRUARY","DELAWARE","PRIVATE/RENTAL BOAT","INLAND",".","."
"FINAL","MRIP (2004 - 1988)",1988,"JANUARY/FEBRUARY","FLORIDA","SHORE","OCEAN (<= 3 MI)",408296,39.1
"FINAL","MRIP (2004 - 1988)",1988,"JANUARY/FEBRUARY","FLORIDA","SHORE","INLAND",242789,70.7
"FINAL","MRIP (2004 - 1988)",1988,"JANUARY/FEBRUARY","FLORIDA","CHARTER BOAT","OCEAN (<= 3 MI)",".","."
"FINAL","MRIP (2004 - 1988)",1988,"JANUARY/FEBRUARY","FLORIDA","CHARTER BOAT","OCEAN (> 3 MI)",".","."
"FINAL","MRIP (2004 - 1988)",1988,"JANUARY/FEBRUARY","FLORIDA","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",5888,100.0
"FINAL","MRIP (2004 - 1988)",1988,"JANUARY/FEBRUARY","FLORIDA","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)",3501,100.0
"FINAL","MRIP (2004 - 1988)",1988,"JANUARY/FEBRUARY","FLORIDA","PRIVATE/RENTAL BOAT","INLAND",244697,37.0
"FINAL","MRIP (2004 - 1988)",1988,"JANUARY/FEBRUARY","GEORGIA","SHORE","INLAND",".","."
"FINAL","MRIP (2004 - 1988)",1988,"JANUARY/FEBRUARY","GEORGIA","CHARTER BOAT","INLAND",".","."
"FINAL","MRIP (2004 - 1988)",1988,"JANUARY/FEBRUARY","GEORGIA","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",".","."
"FINAL","MRIP (2004 - 1988)",1988,"JANUARY/FEBRUARY","GEORGIA","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)",".","."
"FINAL","MRIP (2004 - 1988)",1988,"JANUARY/FEBRUARY","GEORGIA","PRIVATE/RENTAL BOAT","INLAND",".","."
"FINAL","MRIP (2004 - 1988)",1988,"JANUARY/FEBRUARY","MAINE","SHORE","OCEAN (<= 3 MI)",".","."
"FINAL","MRIP (2004 - 1988)",1988,"JANUARY/FEBRUARY","MAINE","SHORE","INLAND",".","."
"FINAL","MRIP (2004 - 1988)",1988,"JANUARY/FEBRUARY","MAINE","PARTY/CHARTER BOAT","OCEAN (> 3 MI)",".","."
"FINAL","MRIP (2004 - 1988)",1988,"JANUARY/FEBRUARY","MAINE","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",".","."
"FINAL","MRIP (2004 - 1988)",1988,"JANUARY/FEBRUARY","MAINE","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)",".","."
"FINAL","MRIP (2004 - 1988)",1988,"JANUARY/FEBRUARY","MAINE","PRIVATE/RENTAL BOAT","INLAND",".","."
"FINAL","MRIP (2004 - 1988)",1988,"JANUARY/FEBRUARY","MARYLAND","SHORE","OCEAN (<= 3 MI)",".","."
"FINAL","MRIP (2004 - 1988)",1988,"JANUARY/FEBRUARY","MARYLAND","SHORE","INLAND",".","."
"FINAL","MRIP (2004 - 1988)",1988,"JANUARY/FEBRUARY","MARYLAND","PARTY/CHARTER BOAT","OCEAN (<= 3 MI)",".","."
"FINAL","MRIP (2004 - 1988)",1988,"JANUARY/FEBRUARY","MARYLAND","PARTY/CHARTER BOAT","OCEAN (> 3 MI)",".","."
"FINAL","MRIP (2004 - 1988)",1988,"JANUARY/FEBRUARY","MARYLAND","PARTY/CHARTER BOAT","INLAND",".","."
"FINAL","MRIP (2004 - 1988)",1988,"JANUARY/FEBRUARY","MARYLAND","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",".","."
"FINAL","MRIP (2004 - 1988)",1988,"JANUARY/FEBRUARY","MARYLAND","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)",".","."
"FINAL","MRIP (2004 - 1988)",1988,"JANUARY/FEBRUARY","MARYLAND","PRIVATE/RENTAL BOAT","INLAND",".","."
"FINAL","MRIP (2004 - 1988)",1988,"JANUARY/FEBRUARY","MASSACHUSETTS","SHORE","OCEAN (<= 3 MI)",".","."
"FINAL","MRIP (2004 - 1988)",1988,"JANUARY/FEBRUARY","MASSACHUSETTS","SHORE","INLAND",".","."
"FINAL","MRIP (2004 - 1988)",1988,"JANUARY/FEBRUARY","MASSACHUSETTS","PARTY/CHARTER BOAT","OCEAN (<= 3 MI)",".","."
"FINAL","MRIP (2004 - 1988)",1988,"JANUARY/FEBRUARY","MASSACHUSETTS","PARTY/CHARTER BOAT","OCEAN (> 3 MI)",".","."
"FINAL","MRIP (2004 - 1988)",1988,"JANUARY/FEBRUARY","MASSACHUSETTS","PARTY/CHARTER BOAT","INLAND",".","."
"FINAL","MRIP (2004 - 1988)",1988,"JANUARY/FEBRUARY","MASSACHUSETTS","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",".","."
"FINAL","MRIP (2004 - 1988)",1988,"JANUARY/FEBRUARY","MASSACHUSETTS","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)",".","."
"FINAL","MRIP (2004 - 1988)",1988,"JANUARY/FEBRUARY","MASSACHUSETTS","PRIVATE/RENTAL BOAT","INLAND",".","."
"FINAL","MRIP (2004 - 1988)",1988,"JANUARY/FEBRUARY","NEW HAMPSHIRE","SHORE","OCEAN (<= 3 MI)",".","."
